"DateTime";"Dados Mensais"
"2013-01-01";19,94
"2013-02-01";19,98
"2013-03-01";19,73
"2013-04-01";19,56
"2013-05-01";19,29
"2013-06-01";19,15
"2013-07-01";19,04
"2013-08-01";18,97
"2013-09-01";19,07
"2013-10-01";19,02
"2013-11-01";19,02
"2013-12-01";18,72
"2014-01-01";18,87
"2014-02-01";19,18
"2014-03-01";19,19
"2014-04-01";19,24
"2014-05-01";19,27
"2014-06-01";19,42
"2014-07-01";19,29
"2014-08-01";19,31
"2014-09-01";19,29
"2014-10-01";19,32
"2014-11-01";19,36
"2014-12-01";19,12
"2015-01-01";19,42
"2015-02-01";19,76
"2015-03-01";19,8
"2015-04-01";20,04
"2015-05-01";20,18
"2015-06-01";20,42
"2015-07-01";20,51
"2015-08-01";20,68
"2015-09-01";20,92
"2015-10-01";21,15
"2015-11-01";21,43
"2015-12-01";21,15
"2016-01-01";21,52
"2016-02-01";21,87
"2016-03-01";22,01
"2016-04-01";22,22
"2016-05-01";22,29
"2016-06-01";22,45
"2016-07-01";22,49
"2016-08-01";22,58
"2016-09-01";22,76
"2016-10-01";22,91
"2016-11-01";22,9
"2016-12-01";22,56
"2017-01-01";22,84
"2017-02-01";22,98
"2017-03-01";22,73
"2017-04-01";22,46
"2017-05-01";22,28
"2017-06-01";22,07
"2017-07-01";22,07
"2017-08-01";21,94
"2017-09-01";21,65
"2017-10-01";21,74
"2017-11-01";21,68
"2017-12-01";21,15
"2018-01-01";21,33
"2018-02-01";21,51
"2018-03-01";21,3
"2018-04-01";21,28
"2018-05-01";21
"2018-06-01";20,94
"2018-07-01";20,78
"2018-08-01";20,65
"2018-09-01";20,64
"2018-10-01";20,76
"2018-11-01";20,77
"2018-12-01";20,42
"2019-01-01";20,76
"2019-02-01";20,97
"2019-03-01";20,95
"2019-04-01";21,16
"2019-05-01";21,13
"2019-06-01";21,29
"2019-07-01";21,24
"2019-08-01";21,15
"2019-09-01";21,02
"2019-10-01";20,9
"2019-11-01";20,75
"2019-12-01";20,28
"2020-01-01";20,14
"2020-02-01";20,25
"2020-03-01";20,06
"2020-04-01";19,76
"2020-05-01";19,2
"2020-06-01";18,68
"2020-07-01";18,24
"2020-08-01";17,84
"2020-09-01";17,4
"2020-10-01";17,24
"2020-11-01";17,04
"2020-12-01";16,74
"2021-01-01";17
"2021-02-01";17,16
"2021-03-01";17,08
"2021-04-01";17,14
"2021-05-01";17,18
"2021-06-01";17,27
"2021-07-01";17,3
"2021-08-01";17,45
"2021-09-01";17,64
"2021-10-01";17,94
"2021-11-01";18,25
"2021-12-01";18,33
"2022-01-01";18,96
"2022-02-01";19,38
"2022-03-01";19,48
"2022-04-01";19,91
"2022-05-01";20,14
"2022-06-01";20,41
"2022-07-01";20,77
"2022-08-01";20,99
"2022-09-01";21,32
"2022-10-01";21,58