reuniao_n;extraordinaria;reuniao_data;nota;vigencia_inicio;vigencia_fim;período_vigencia;meta_selic_ano;tban_ano;selic_acc_periodo;selic_ano
1;0;1996-06-26;;1996-07-01;1996-07-31;01/07/1996 - 31/07/1996;1,9;;1,93;23,28
2;0;1996-07-30;;1996-08-01;1996-08-31;01/08/1996 - 31/08/1996;1,9;;1,97;25,01
3;0;1996-08-21;;1996-09-01;1996-09-30;01/09/1996 - 30/09/1996;1,88;;1,9;25,4
4;0;1996-09-23;;1996-10-01;1996-10-31;01/10/1996 - 31/10/1996;1,82;1,93;1,86;23,48
5;0;1996-10-23;;1996-11-01;1996-11-30;01/11/1996 - 30/11/1996;1,78;1,9;1,8;25,27
6;0;1996-11-27;;1996-12-01;1996-12-31;01/12/1996 - 31/12/1996;1,74;1,9;1,8;23,94
7;0;1996-12-18;;1997-01-01;1997-01-31;01/01/1997 - 31/01/1997;1,7;1,88;1,73;21,73
8;0;1997-01-22;;1997-02-01;1997-02-28;01/02/1997 - 28/02/1997;1,66;1,84;1,67;26,14
9;0;1997-02-19;;1997-03-01;1997-03-31;01/03/1997 - 31/03/1997;1,62;1,8;1,64;24,11
10;0;1997-03-19;;1997-04-01;1997-04-30;01/04/1997 - 30/04/1997;1,58;1,78;1,66;21,84
11;0;1997-04-16;;1997-05-01;1997-05-31;01/05/1997 - 31/05/1997;1,58;1,78;1,58;21,91
12;0;1997-05-21;;1997-06-01;1997-06-30;01/06/1997 - 30/06/1997;1,58;1,78;1,61;21,08
13;0;1997-06-18;;1997-07-01;1997-07-31;01/07/1997 - 31/07/1997;1,58;1,78;1,6;19,04
14;0;1997-07-23;;1997-08-01;1997-08-31;01/08/1997 - 31/08/1997;1,58;1,78;1,59;20,78
15;0;1997-08-20;;1997-09-01;1997-09-30;01/09/1997 - 30/09/1997;1,58;1,78;1,59;19,81
16;0;1997-09-17;;1997-10-01;1997-10-30;01/10/1997 - 30/10/1997;1,58;1,78;1,53;19,05
17;0;1997-10-22;;1997-11-01;1997-11-30;01/11/1997 - 30/11/1997;1;1;3,04;45,9
18;1;1997-10-30;;1997-10-31;1997-11-30;31/10/1997 - 30/11/1997;3,05;3,23;3,18;45,67
19;0;1997-11-19;;1997-12-01;1997-12-31;01/12/1997 - 31/12/1997;2,9;3,15;2,97;39,87
20;0;1997-12-17;;1998-01-02;1998-01-28;02/01/1998 - 28/01/1998;38;43;2,43;37,47
21;0;1998-01-28;;1998-01-29;1998-03-04;29/01/1998 - 04/03/1998;34,5;42;2,72;34,2
22;0;1998-03-04;;1998-03-05;1998-04-15;05/03/1998 - 15/04/1998;28;38;2,74;27,51
23;0;1998-04-15;;1998-04-16;1998-05-20;16/04/1998 - 20/05/1998;23,25;35,25;1,92;23,16
24;0;1998-05-20;;1998-05-21;1998-06-24;21/05/1998 - 24/06/1998;21,75;29,75;1,85;21,23
25;0;1998-06-24;;1998-06-25;1998-07-29;25/06/1998 - 29/07/1998;21;28;1,86;20,45
26;0;1998-07-29;;1998-07-30;1998-09-02;30/07/1998 - 02/09/1998;19,75;25,75;1,76;19,25
27;0;1998-09-02;;1998-09-03;1998-09-10;03/09/1998 - 10/09/1998;19;29,75;0,45;25,49
28;1;1998-09-10;;1998-09-11;1998-10-07;11/09/1998 - 07/10/1998;19;49,75;2,58;40,18
29;0;1998-10-07;;1998-10-08;1998-11-11;08/10/1998 - 11/11/1998;19;49,75;3,26;42,12
30;0;1998-11-11;;1998-11-12;1998-12-16;12/11/1998 - 16/12/1998;19;42,25;3,02;34,93
31;0;1998-12-16;;1998-12-17;1999-01-18;17/12/1998 - 18/01/1999;29;36;2,16;29,21
32;0;1999-01-18;;1999-01-19;1999-03-04;19/01/1999 - 04/03/1999;25;41;3,98;37,34
33;0;1999-04-05;vies;1999-04-06;1999-04-14;06/04/1999 - 14/04/1999;39,5;;0,93;39,42
33;0;1999-03-24;vies;1999-03-25;1999-04-05;25/03/1999 - 05/04/1999;42;;0,84;41,96
33;0;1999-03-04;baixa;1999-03-05;1999-03-24;05/03/1999 - 24/03/1999;45;;2,08;44,95
34;0;1999-05-12;vies;1999-05-13;1999-05-19;13/05/1999 - 19/05/1999;27;;0,47;26,96
34;0;1999-05-07;vies;1999-05-10;1999-05-12;10/05/1999 - 12/05/1999;29,5;;0,31;29,53
34;0;1999-04-28;vies;1999-04-29;1999-05-07;29/04/1999 - 07/05/1999;32;;0,77;31,91
34;0;1999-04-14;baixa;1999-04-15;1999-04-28;15/04/1999 - 28/04/1999;34;;1,05;33,92
35;0;1999-06-08;vies;1999-06-09;1999-06-23;09/06/1999 - 23/06/1999;22;;0,87;21,92
35;0;1999-05-19;baixa;1999-05-20;1999-06-08;20/05/1999 - 08/06/1999;23,5;;1,09;23,36
36;0;1999-06-23;baixa;1999-06-24;1999-07-28;24/06/1999 - 28/07/1999;21;;1,9;20,88
37;0;1999-07-28;;1999-07-29;1999-09-01;29/07/1999 - 01/09/1999;19,5;;1,78;19,51
38;0;1999-09-01;;1999-09-02;1999-09-22;02/09/1999 - 22/09/1999;19,5;;1;19,52
39;0;1999-09-22;;1999-09-23;1999-10-06;23/09/1999 - 06/10/1999;19;;0,69;19,01
40;0;1999-10-06;baixa;1999-10-07;1999-11-10;07/10/1999 - 10/11/1999;19;;1,59;18,87
41;0;1999-11-10;;1999-11-11;1999-12-15;11/11/1999 - 15/12/1999;19;;1,67;18,99
42;0;1999-12-15;;1999-12-16;2000-01-19;16/12/1999 - 19/01/2000;19;;1,74;19
43;0;2000-01-19;;2000-01-20;2000-02-16;20/01/2000 - 16/02/2000;19;;1,38;18,87
44;0;2000-02-16;;2000-02-17;2000-03-22;17/02/2000 - 22/03/2000;19;;1,59;18,88
45;0;2000-03-28;vies;2000-03-29;2000-04-19;29/03/2000 - 19/04/2000;18,5;;1,09;18,6
45;0;2000-03-22;baixa;2000-03-23;2000-03-28;23/03/2000 - 28/03/2000;19;;0,28;18,94
46;0;2000-04-19;;2000-04-20;2000-05-24;20/04/2000 - 24/05/2000;18,5;;1,57;18,55
47;0;2000-05-24;;2000-05-25;2000-06-20;25/05/2000 - 20/06/2000;18,5;;1,28;18,39
48;0;2000-07-07;vies;2000-07-10;2000-07-19;10/07/2000 - 19/07/2000;17;;0,5;16,96
48;0;2000-06-20;baixa;2000-06-21;2000-07-07;21/06/2000 - 07/07/2000;17,5;;0,76;17,35
49;0;2000-07-19;;2000-07-20;2000-08-23;20/07/2000 - 23/08/2000;16,5;;1,53;16,51
50;0;2000-08-23;;2000-08-24;2000-09-20;24/08/2000 - 20/09/2000;16,5;;1,16;16,54
51;0;2000-09-20;;2000-09-21;2000-10-18;21/09/2000 - 18/10/2000;16,5;;1,16;16,6
52;0;2000-10-18;;2000-10-19;2000-11-22;19/10/2000 - 22/11/2000;16,5;;1,41;16,56
53;0;2000-11-22;;2000-11-23;2000-12-20;23/11/2000 - 20/12/2000;16,5;;1,21;16,38
54;0;2000-12-20;;2000-12-21;2001-01-17;21/12/2000 - 17/01/2001;15,75;;1,05;15,76
55;0;2001-01-17;;2001-01-18;2001-02-14;18/01/2001 - 14/02/2001;15,25;;1,13;15,19
56;0;2001-02-14;;2001-02-15;2001-03-21;15/02/2001 - 21/03/2001;15,25;;1,3;15,2
57;0;2001-03-21;;2001-03-22;2001-04-18;22/03/2001 - 18/04/2001;15,75;;1,11;15,84
58;0;2001-04-18;;2001-04-19;2001-05-23;19/04/2001 - 23/05/2001;16,25;;1,45;16,3
59;0;2001-05-23;;2001-05-24;2001-06-20;24/05/2001 - 20/06/2001;16,75;;1,17;16,76
60;0;2001-06-20;baixa;2001-06-21;2001-07-18;21/06/2001 - 18/07/2001;18,25;;1,34;18,31
61;0;2001-07-18;;2001-07-19;2001-08-22;19/07/2001 - 22/08/2001;19;;1,74;18,96
62;0;2001-08-22;;2001-08-23;2001-09-19;23/08/2001 - 19/09/2001;19;;1,32;19,04
63;0;2001-09-19;;2001-09-20;2001-10-17;20/09/2001 - 17/10/2001;19;;1,32;19,07
64;0;2001-10-17;;2001-10-18;2001-11-21;18/10/2001 - 21/11/2001;19;;1,6;19,05
65;0;2001-11-21;;2001-11-22;2001-12-19;22/11/2001 - 19/12/2001;19;;1,39;19,05
66;0;2001-12-19;;2001-12-20;2002-01-23;20/12/2001 - 23/01/2002;19;;1,6;19,05
67;0;2002-01-23;;2002-01-24;2002-02-20;24/01/2002 - 20/02/2002;19;;1,25;19,05
68;0;2002-02-20;;2002-02-21;2002-03-20;21/02/2002 - 20/03/2002;18,75;;1,38;18,8
69;0;2002-03-20;;2002-03-21;2002-04-17;21/03/2002 - 17/04/2002;18,5;;1,28;18,45
70;0;2002-04-17;;2002-04-18;2002-05-22;18/04/2002 - 22/05/2002;18,5;;1,62;18,35
71;0;2002-05-22;;2002-05-23;2002-06-19;23/05/2002 - 19/06/2002;18,5;;1,26;18,07
72;0;2002-06-19;baixa;2002-06-20;2002-07-17;20/06/2002 - 17/07/2002;18,5;;1,35;18,4
73;0;2002-07-17;;2002-07-18;2002-08-21;18/07/2002 - 21/08/2002;18;;1,64;17,86
74;0;2002-08-21;baixa;2002-08-22;2002-09-18;22/08/2002 - 18/09/2002;18;;1,31;17,87
75;0;2002-09-18;;2002-09-19;2002-10-14;19/09/2002 - 14/10/2002;18;;1,18;17,9
76;1;2002-10-14;;2002-10-15;2002-10-22;15/10/2002 - 22/10/2002;21;;0,53;20,9
77;0;2002-10-22;;2002-10-23;2002-11-20;23/10/2002 - 20/11/2002;21;;1,44;20,9
78;0;2002-11-20;;2002-11-21;2002-12-18;21/11/2002 - 18/12/2002;22;;1,58;21,9
79;0;2002-12-18;;2002-12-19;2003-01-22;19/12/2002 - 22/01/2003;25;;2,05;24,9
80;0;2003-01-22;;2003-01-23;2003-02-19;23/01/2003 - 19/02/2003;25,5;;1,81;25,36
81;0;2003-02-19;;2003-02-20;2003-03-19;20/02/2003 - 19/03/2003;26,5;;1,68;26,3
82;0;2003-03-19;alta;2003-03-20;2003-04-23;20/03/2003 - 23/04/2003;26,5;;2,16;26,32
83;0;2003-04-23;;2003-04-24;2003-05-21;24/04/2003 - 21/05/2003;26,5;;1,78;26,32
84;0;2003-05-21;;2003-05-22;2003-06-18;22/05/2003 - 18/06/2003;26,5;;1,87;26,27
85;0;2003-06-18;;2003-06-19;2003-07-23;19/06/2003 - 23/07/2003;26;;2,21;25,74
86;0;2003-07-23;;2003-07-24;2003-08-20;24/07/2003 - 20/08/2003;24,5;;1,74;24,32
87;0;2003-08-20;;2003-08-21;2003-09-17;21/08/2003 - 17/09/2003;22;;1,58;21,84
88;0;2003-09-17;;2003-09-18;2003-10-22;18/09/2003 - 22/10/2003;20;;1,81;19,84
89;0;2003-10-22;;2003-10-23;2003-11-19;23/10/2003 - 19/11/2003;19;;1,38;18,84
90;0;2003-11-19;;2003-11-20;2003-12-17;20/11/2003 - 17/12/2003;17,5;;1,28;17,32
91;0;2003-12-17;;2003-12-18;2004-01-21;18/12/2003 - 21/01/2004;16,5;;1,39;16,32
92;0;2004-01-21;;2004-01-22;2004-02-18;22/01/2004 - 18/02/2004;16,5;;1,21;16,3
93;0;2004-02-18;;2004-02-19;2004-03-17;19/02/2004 - 17/03/2004;16,5;;1,08;16,28
94;0;2004-03-17;;2004-03-18;2004-04-14;18/03/2004 - 14/04/2004;16,25;;1,13;16,09
95;0;2004-04-14;;2004-04-15;2004-05-19;15/04/2004 - 19/05/2004;16;;1,41;15,8
96;0;2004-05-19;;2004-05-20;2004-06-16;20/05/2004 - 16/06/2004;16;;1,11;15,79
97;0;2004-06-16;;2004-06-17;2004-07-21;17/06/2004 - 21/07/2004;16;;1,46;15,79
98;0;2004-07-21;;2004-07-22;2004-08-18;22/07/2004 - 18/08/2004;16;;1,17;15,83
99;0;2004-08-18;;2004-08-19;2004-09-15;19/08/2004 - 15/09/2004;16;;1,12;15,9
100;0;2004-09-15;;2004-09-16;2004-10-19;16/09/2004 - 19/10/2004;16,25;;1,44;16,23
101;0;2004-10-19;;2004-10-20;2004-11-17;20/10/2004 - 17/11/2004;16,75;;1,11;16,74
102;0;2004-11-17;;2004-11-18;2004-12-15;18/11/2004 - 15/12/2004;17,25;;1,27;17,23
103;0;2004-12-15;;2004-12-16;2005-01-19;16/12/2004 - 19/01/2005;17,75;;1,63;17,74
104;0;2005-01-19;;2005-01-20;2005-02-16;20/01/2005 - 16/02/2005;18,25;;1,2;18,25
105;0;2005-02-16;;2005-02-17;2005-03-16;17/02/2005 - 16/03/2005;18,75;;1,37;18,75
106;0;2005-03-16;;2005-03-17;2005-04-21;17/03/2005 - 21/04/2005;19,25;;1,69;19,24
107;0;2005-04-20;;2005-04-22;2005-05-18;22/04/2005 - 18/05/2005;19,5;;1,35;19,51
108;0;2005-05-18;;2005-05-19;2005-06-15;19/05/2005 - 15/06/2005;19,75;;1,37;19,75
109;0;2005-06-15;;2005-06-16;2005-07-20;16/06/2005 - 20/07/2005;19,75;;1,8;19,73
110;0;2005-07-20;;2005-07-21;2005-08-17;21/07/2005 - 17/08/2005;19,75;;1,44;19,75
111;0;2005-08-17;;2005-08-18;2005-09-14;18/08/2005 - 14/09/2005;19,75;;1,37;19,74
112;0;2005-09-14;;2005-09-15;2005-10-19;15/09/2005 - 19/10/2005;19,5;;1,71;19,48
113;0;2005-10-19;;2005-10-20;2005-11-23;20/10/2005 - 23/11/2005;19;;1,6;18,98
114;0;2005-11-23;;2005-11-24;2005-12-14;24/11/2005 - 14/12/2005;18,5;;1,01;18,49
115;0;2005-12-14;;2005-12-15;2006-01-18;15/12/2005 - 18/01/2006;18;;1,66;18
116;0;2006-01-18;;2006-01-19;2006-03-08;19/01/2006 - 08/03/2006;17,25;;2,11;17,26
117;0;2006-03-08;;2006-03-09;2006-04-19;09/03/2006 - 19/04/2006;16,5;;1,77;16,5
118;0;2006-04-19;;2006-04-20;2006-05-31;20/04/2006 - 31/05/2006;15,75;;1,63;15,7
119;0;2006-05-31;;2006-06-01;2006-07-19;01/06/2006 - 19/07/2006;15,25;;1,92;15,18
